Date,Mitzvos,English Title(s),Source,Sefaria_Link,Sefaria_Link
2026-01-22,"102, 103",To rest on Rosh Hashanah & Not to do prohibited labor on Rosh Hashanah,Vayikra 23:24 & Vayikra 23:25,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.102?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.103?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.102?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.103?lang=bi
2026-01-23,"104, 105",To rest on Sukkot & Not to do prohibited labor on Sukkot,Vayikra 23:35 & Vayikra 23:35,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.104?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.105?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.104?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.105?lang=bi
2026-01-24,"106, 107",To rest on Shemini Atzeret & Not to do prohibited labor on Shemini Atzeret,Vayikra 23:36 & Vayikra 23:36,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.106?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.107?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.106?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.107?lang=bi
2026-01-25,"108, 109",Not to eat Chametz on the afternoon of the 14th day of Nissan & To destroy all Chametz on 14th day of Nissan,Devarim 16:3 & Shemos 12:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.108?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.109?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.108?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.109?lang=bi
2026-01-26,"110, 111",Not to eat Chametz all seven days of Passover & Not to eat mixtures containing Chametz all seven days of Passover,Shemos 13:3 & Shemos 12:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.110?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.111?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.110?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.111?lang=bi
2026-01-27,"112, 113",Chametz should not be seen in your domain seven days & Chametz should not be found in your domain seven days,Shemos 13:7 & Shemos 12:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.112?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.113?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.112?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.113?lang=bi
2026-01-28,"114, 115",To eat Matzah on the first night of Passover & To relate the Exodus from Egypt on that night,Shemos 12:18 & Shemos 13:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.114?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.115?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.114?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.115?lang=bi
2026-01-29,"116, 117",To hear the Shofar on the first day of Tishrei (Rosh Hashanah) & To dwell in a Sukkah for the seven days of Sukkot,Bamidbar 29:1 & Vayikra 23:42,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.116?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.117?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.116?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.117?lang=bi
2026-01-30,"118, 119",To take up a Lulav and Etrog all seven days of Sukkot & Each man must give a half shekel annually,Vayikra 23:40 & Shemos 30:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.118?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.119?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.118?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.119?lang=bi
2026-01-31,"120, 121",Courts must calculate to determine when a new month begins & To afflict and cry out before G‑d in times of catastrophe,Shemos 12:2 & Bamidbar 10:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.120?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.121?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.120?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.121?lang=bi
2026-02-01,"122, 123",To marry a wife by the means prescribed in the Torah (kiddushin) & Not to have relations with women not thus married,Devarim 24:1 & Devarim 23:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.122?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.123?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.122?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.123?lang=bi
2026-02-02,"124, 125","Not to withhold food, clothing, and sexual relations from your wife & To have children with one's wife",Shemos 21:10 & Bereishis 1:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.124?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.125?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.124?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.125?lang=bi
2026-02-03,"126, 127",To issue a divorce by means of a Get document & A man must not remarry his wife after she has married someone else,Devarim 24:1 & Devarim 24:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.126?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.127?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.126?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.127?lang=bi
2026-02-04,"128, 129",To do Yibum (marry childless brother's widow) & To do Chalitzah (freeing a widow from yibum),Devarim 25:5 & Devarim 25:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.128?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.129?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.128?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.129?lang=bi
2026-02-05,"130, 131",The widow must not remarry until the ties with her brother-in-law are removed & The court must fine one who seduces a maiden,Devarim 25:5 & Shemos 22:15-16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.130?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.131?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.130?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.131?lang=bi
2026-02-06,"132, 133",The rapist must marry the maiden (if she chooses) & He is not allowed to divorce her,Devarim 22:29 & Devarim 22:29,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.132?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.133?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.132?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.133?lang=bi
2026-02-07,"134, 135",The slanderer must remain married to the wife he slandered & He must not divorce her,Devarim 22:19 & Devarim 22:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.134?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.135?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.134?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.135?lang=bi
2026-02-08,"136, 137",To fulfill the laws of the woman suspected of adultery (Sotah) & Not to put oil on her meal offering,Bamidbar 5:30 & Bamidbar 5:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.136?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.137?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.136?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.137?lang=bi
2026-02-09,"138, 139",Not to put frankincense on her Meal Offering & Not to have sexual relations with your mother,Bamidbar 5:15 & Vayikra 18:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.138?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.139?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.138?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.139?lang=bi
2026-02-10,"140, 141",Not to have sexual relations with your father's wife & Not to have sexual relations with your sister,Vayikra 18:8 & Vayikra 18:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.140?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.141?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.140?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.141?lang=bi
2026-02-11,"142, 143",Not to have sexual relations with your father's wife's daughter (from your father) & Not to have sexual relations with your son's daughter,Vayikra 18:11 & Vayikra 18:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.142?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.143?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.142?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.143?lang=bi
2026-02-12,"144, 145",Not to have sexual relations with your daughter & Not to have sexual relations with your daughter's daughter,Vayikra 18:10 & Vayikra 18:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.144?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.145?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.144?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.145?lang=bi
2026-02-13,"146, 147",Not to marry a woman and her daughter & Not to marry a woman and her son's daughter,Vayikra 18:17 & Vayikra 18:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.146?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.147?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.146?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.147?lang=bi
2026-02-14,"148, 149",Not to marry a woman and her daughter's daughter & Not to have sexual relations with your father's sister,Vayikra 18:17 & Vayikra 18:12,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.148?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.149?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.148?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.149?lang=bi
2026-02-15,"150, 151",Not to have sexual relations with your mother's sister & Not to have sexual relations with your father's brother's wife,Vayikra 18:13 & Vayikra 18:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.150?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.151?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.150?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.151?lang=bi
2026-02-16,"152, 153",Not to have sexual relations with your son's wife & Not to have sexual relations with your brother's wife,Vayikra 18:15 & Vayikra 18:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.152?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.153?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.152?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.153?lang=bi
2026-02-17,"154, 155",Not to have sexual relations with your wife's sister & A man must not have sexual relations with a beast,Vayikra 18:18 & Vayikra 18:23,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.154?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.155?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.154?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.155?lang=bi
2026-02-18,"156, 157",A woman must not have sexual relations with a beast & Not to have homosexual sexual relations,Vayikra 18:23 & Vayikra 18:22,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.156?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.157?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.156?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.157?lang=bi
2026-02-19,"158, 159",Not to have homosexual sexual relations with your father & Not to have homosexual sexual relations with your father's brother,Vayikra 18:7 & Vayikra 18:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.158?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.159?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.158?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.159?lang=bi
2026-02-20,"160, 161",Not to have sexual relations with a married woman & Not to have sexual relations with a menstrually impure woman,Vayikra 18:20 & Vayikra 18:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.160?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.161?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.160?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.161?lang=bi
2026-02-21,"162, 163",Not to marry non-Jews & Not to let Moabite and Ammonite males marry into the Jewish people,Devarim 7:3 & Devarim 23:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.162?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.163?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.162?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.163?lang=bi
2026-02-22,"164, 165",Don't keep a third generation Egyptian convert from marrying into the Jewish people & Not to refrain from marrying a third generation Edomite convert,Devarim 23:8-9 & Devarim 23:8-9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.164?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.165?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.164?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.165?lang=bi
2026-02-23,"166, 167","Not to let a Mamzer (""bastard"") marry into the Jewish people & Not to let a eunuch marry into the Jewish people",Devarim 23:3 & Devarim 23:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.166?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.167?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.166?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.167?lang=bi
2026-02-24,"168, 169",Not to castrate any male (including animals) & The High Priest must not marry a widow,Vayikra 22:24 & Vayikra 21:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.168?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.169?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.168?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.169?lang=bi
2026-02-25,"170, 171",The High Priest must not have sexual relations with a widow even outside of marriage & The High Priest must marry a virgin maiden,Vayikra 21:14 & Vayikra 21:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.170?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.171?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.170?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.171?lang=bi
2026-02-26,"172, 173",A Kohen must not marry a divorcee & A Kohen must not marry a zonah (a woman who had forbidden relations),Vayikra 21:7 & Vayikra 21:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.172?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.173?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.172?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.173?lang=bi
2026-02-27,"174, 175",A Kohen must not marry a chalalah (party to or product of 169-172) & Not to make pleasurable (sexual) contact with any forbidden woman,Vayikra 21:7 & Vayikra 18:6,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.174?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.175?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.174?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.175?lang=bi
2026-02-28,"176, 177",To examine the signs of animals to distinguish between Kosher and non-kosher & To examine the signs of fowl to distinguish between kosher and non-kosher,Vayikra 11:2 & Devarim 14:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.176?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.177?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.176?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.177?lang=bi
2026-03-01,"178, 179",To examine the signs of fish to distinguish between kosher and non-kosher & To examine the signs of locusts to distinguish between kosher and non-kosher,Vayikra 11:9 & Vayikra 11:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.178?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.179?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.178?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.179?lang=bi
2026-03-02,"180, 181",Not to eat non-kosher animals & Not to eat non-kosher fowl,Vayikra 11:4 & Vayikra 11:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.180?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.181?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.180?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.181?lang=bi
2026-03-03,"182, 183",Not to eat non-kosher fish & Not to eat non-kosher flying insects,Vayikra 11:11 & Devarim 14:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.182?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.183?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.182?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.183?lang=bi
2026-03-04,"184, 185",Not to eat non-kosher creatures that crawl on land & Not to eat non-kosher maggots,Vayikra 11:41 & Vayikra 11:44,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.184?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.185?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.184?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.185?lang=bi
2026-03-05,"186, 187",Not to eat worms found in fruit once they have left the fruit & Not to eat creatures that live in water other than fish,Vayikra 11:42 & Vayikra 11:43,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.186?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.187?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.186?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.187?lang=bi
2026-03-06,"188, 189",Not to eat the meat of an animal that died without ritual slaughter & Not to benefit from a beast condemned to be stoned,Devarim 14:21 & Shemos 21:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.188?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.189?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.188?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.189?lang=bi
2026-03-07,"190, 191",Not to eat meat of an animal that was mortally wounded & Not to eat a limb torn off a living creature,Shemos 22:30 & Devarim 12:23,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.190?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.191?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.190?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.191?lang=bi
2026-03-08,"192, 193",Not to eat blood & Not to eat certain fats of kosher animals,Vayikra 3:17 & Vayikra 3:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.192?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.193?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.192?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.193?lang=bi
2026-03-09,"194, 195",Not to eat the sinew of the thigh & Not to eat meat and milk cooked together,Bereishis. 32:33 & Shemos 23:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.194?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.195?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.194?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.195?lang=bi
2026-03-10,"196, 197",Not to cook meat and milk together & Not to eat bread from new grain before the Omer,Shemos 34:26 & Vayikra 23:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.196?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.197?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.196?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.197?lang=bi
2026-03-11,"198, 199",Not to eat parched grains from new grain before the Omer & Not to eat ripened grains from new grain before the Omer,Vayikra 23:14 & Vayikra 23:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.198?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.199?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.198?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.199?lang=bi
2026-03-12,"200, 201",Not to eat fruit of a tree during its first three years & Not to eat diverse seeds planted in a vineyard,Vayikra 19:23 & Devarim 22:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.200?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.201?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.200?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.201?lang=bi
2026-03-13,"202, 203",Not to eat untithed fruits & Not to drink wine poured in service to idols,Vayikra 22:15 & Devarim 32:38,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.202?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.203?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.202?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.203?lang=bi
2026-03-14,"204, 205",To ritually slaughter an animal before eating it & Not to slaughter an animal and its offspring on the same day,Devarim 12:21 & Vayikra 22:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.204?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.205?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.204?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.205?lang=bi
2026-03-15,"206, 207",To cover the blood (of a slaughtered beast or fowl) with earth & Not to take the mother bird from her children,Vayikra 17:13 & Devarim 22:6,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.206?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.207?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.206?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.207?lang=bi
2026-03-16,"208, 209",To release the mother bird before taking the children & Not to swear falsely in G‑d's Name,Devarim 22:7 & Vayikra 19:12,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.208?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.209?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.208?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.209?lang=bi
2026-03-17,"210, 211",Not to take G‑d's Name in vain & Not to deny possession of something entrusted to you,Shemos 20:7 & Vayikra 19:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.210?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.211?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.210?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.211?lang=bi
2026-03-18,"212, 213",Not to swear falsely in denial of a monetary claim & To swear in G‑d's Name to confirm the truth when deemed necessary by court,Vayikra 19:11 & Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.212?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.213?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.212?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.213?lang=bi
