Date,Mitzvos,English Title(s),Source
2026-09-03,"550, 551",Not to commit adultery & To honor parents,"Shemos 20:12, Vayikra 18:20"
2026-09-04,"552, 553",Not to murder & Not to kidnap,"Shemos 20:13, 21:16"
2026-09-05,"554, 555",Not to steal & Not to bear false witness,Shemos 20:15–16
2026-09-06,"556, 557",Not to covet & Not to oppress strangers,"Shemos 20:17, Vayikra 19:33"
2026-09-07,"558, 559",Not to wrong converts & Not to forget the poor,"Devarim 24:17, Vayikra 19:9"
2026-09-08,"560, 561",To leave the corner of the field for the poor & Not to glean improperly,"Vayikra 19:9, Devarim 24:19"
2026-09-09,"562, 563",Not to withhold wages & Not to cheat in measurements,"Vayikra 19:13, 19:35"
2026-09-10,"564, 565",Not to curse the deaf & blind & Not to place a stumbling block,Vayikra 19:14–15
2026-09-11,"566, 567",Not to gossip & Not to take revenge,Vayikra 19:16–18
2026-09-12,"568, 569",Not to oppress the weak & Not to hate a fellow Jew,"Vayikra 19:17, Devarim 24:17"
2026-09-13,"570, 571",To love your fellow & To honor the elderly,"Vayikra 19:18, Shemos 20:12"
2026-09-14,"572, 573",To keep promises & To return collateral,Shemos 23:4–5
2026-09-15,"574, 575",Not to delay vows & Not to oppress strangers,"Vayikra 27:2, Devarim 24:14"
2026-09-16,"576, 577",Not to oppress converts & To leave gifts for the poor,"Devarim 24:17, Vayikra 19:9"
2026-09-17,"578, 579",Not to curse judges & officers & Not to pervert justice,Devarim 16:18–19
2026-09-18,"580, 581",Not to accept bribes & Not to oppress strangers,"Devarim 16:19, 24:17"
2026-09-19,"582, 583",To honor the Kohanim & To honor the Levites,"Vayikra 21:8, Bamidbar 18:3"
2026-09-20,"584, 585",Not to profane sacred vessels & Not to harm the priests,Vayikra 21:1–9
2026-09-21,"586, 587",To observe Yom Tov offerings & To bring daily offerings,Bamidbar 28:1–10
2026-09-22,"588, 589",To observe Shabbat offerings & To observe Rosh Chodesh offerings,Bamidbar 28:11–15
2026-09-23,"590, 591",To bring Pesach offerings & To bring Shavuot offerings,Bamidbar 28:16–29
2026-09-24,"592, 593",To bring Yom Kippur offerings & To bring Sukkot offerings,Bamidbar 29:7–34
2026-09-25,"594, 595",To bring Shemini Atzeret offerings & Not to sacrifice outside the Temple,"Bamidbar 29:35–30:3, Vayikra 17:3"
2026-09-26,"596, 597",To slaughter sacrifices properly & Not to eat non-kosher meat,"Vayikra 1:5, 7:18"
2026-09-27,"598, 599",Not to eat blood & To remove blood from meat,Vayikra 17:10–14
2026-09-28,"600, 601",To observe dietary laws & Not to eat forbidden fat,"Vayikra 3:17, 7:23"
2026-09-29,"602, 603",Not to eat forbidden mixtures & Not to mix meat and milk,"Vayikra 19:19, Shemos 23:19"
2026-09-30,"604, 605",Not to cook meat with milk & Not to derive benefit from mixtures,"Shemos 23:19, Vayikra 11:43"
2026-10-01,"606, 607",To observe tzitzit & To wear tefillin,"Bamidbar 15:38–39, Devarim 6:8"
2026-10-02,"608, 609",To recite Shema morning & evening & To pray daily,"Devarim 6:7, 11:13"
2026-10-03,"610, 611",To bless G‑d for food & To recite grace after meals,"Bamidbar 6:22–27, Devarim 8:10"
2026-10-04,"612, 613",To circumcise male children & To redeem the firstborn,"Vayikra 12:3, Shemos 13:2"
