Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2026-04-04,179,Negative 25,That He prohibited us from attaching something from an idol ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.25?lang=bi
2026-04-04,180,Negative 26,That He prohibited us from prophesying in its name,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.26?lang=bi
2026-04-05,181,Negative 27,That He prohibited us from prophesying falsely,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.27?lang=bi
2026-04-05,182,Negative 28,That He prohibited us from listening to one who prophesies i...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.28?lang=bi
2026-04-06,183,Negative 29,That He prohibited us - that we not be afraid of the false p...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.29?lang=bi
2026-04-06,184,Negative 30,He prohibited us from following in the ways of the idolaters...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.30?lang=bi
2026-04-07,185,Negative 31,"He prohibited us from divination - meaning to say, that one ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.31?lang=bi
2026-04-07,186,Negative 32,He prohibited us from doing actions chosen by astrology,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.32?lang=bi
2026-04-08,187,Negative 33,"That He prohibited us from soothsaying, such as the statemen...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.33?lang=bi
2026-04-08,188,Negative 34,He prohibited us from witchcraft entirely,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.34?lang=bi
2026-04-09,189,Negative 35,He prohibited us from being a charmer - and that is saying t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.35?lang=bi
2026-04-09,190,Negative 36,That He prohibited us from inquiring of someone with an ov,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.36?lang=bi
2026-04-10,191,Negative 37,That He prohibited us from inquiring of a yidaoni,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.37?lang=bi
2026-04-10,192,Negative 38,He prohibited us from inquiring of the dead - as is thought ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.38?lang=bi
2026-04-11,193,Negative 39,That He prohibited us from being drawn to the practices of t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.39?lang=bi
2026-04-11,194,Negative 40,That He prohibited us from men adorning themselves with wome...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.40?lang=bi
2026-04-12,195,Negative 41,"That He prohibited us from inscribing colors - such as blue,...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.41?lang=bi
2026-04-12,196,Negative 42,He prohibited us from wearing a garment woven of wool and li...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.42?lang=bi
2026-04-13,197,Negative 43,He prohibited us from removing the hair of the temples,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.43?lang=bi
2026-04-13,198,Negative 44,That He prohibited us from shaving the beard - and that is [...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.44?lang=bi
2026-04-14,199,Negative 45,That He prohibited us from making a laceration for the dead ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.45?lang=bi
2026-04-14,200,Negative 46,That He prohibited us from dwelling in the Land of Egypt for...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.46?lang=bi
2026-04-15,201,Negative 47,He prohibited us that we not wander after our hearts to the ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.47?lang=bi
2026-04-15,202,Negative 48,He prohibited us from making a covenant with the heretics - ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.48?lang=bi
2026-04-16,203,Negative 49,He prohibited us from keeping someone from the seven nations...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.49?lang=bi
2026-04-16,204,Negative 50,He prohibited us from at all pitying idolaters and from laud...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.50?lang=bi
2026-04-17,205,Negative 51,"He prohibited us from settling idol worshippers in our land,...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.51?lang=bi
2026-04-17,206,Negative 52,He prohibited us from marrying heretics,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.52?lang=bi
2026-04-18,207,Negative 53,That He prohibited us from marrying Ammonites and Moabites -...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.53?lang=bi
2026-04-18,208,Negative 54,That He prohibited us from distancing the descendants of Esa...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.54?lang=bi
2026-04-19,209,Negative 55,That He prohibited us - not to distance the Egyptians and to...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.55?lang=bi
2026-04-19,210,Negative 56,That He prohibited us from ever making peace with Ammon and ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.56?lang=bi
2026-04-20,211,Negative 57,"That when we go to besiege a city, He prohibited us from des...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.57?lang=bi
2026-04-20,212,Negative 58,That He prohibited us from being afraid of the enemies durin...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.58?lang=bi
2026-04-21,213,Negative 59,He prohibited us from forgetting that which the descendants ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.59?lang=bi
2026-04-21,214,Negative 60,"That He prohibited us from cursing the great God, may He be ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.60?lang=bi
2026-04-22,215,Negative 61,That He prohibited us from violating an oath on an utterance,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.61?lang=bi
2026-04-22,216,Negative 62,That He prohibited us - that we not make a vain oath,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.62?lang=bi
2026-04-23,217,Negative 63,That He prohibited us from desecrating [God's] name,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.63?lang=bi
2026-04-23,218,Negative 64,That He prohibited us - not to test [His] assurances and thr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.64?lang=bi
2026-04-24,219,Negative 65,That He prohibited us from smashing and destroying houses of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.65?lang=bi
2026-04-24,220,Negative 66,That He prohibited us from leaving one hung on a tree overni...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.66?lang=bi
2026-04-25,221,Negative 67,That He prohibited us from being lethargic in guarding the T...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.67?lang=bi
2026-04-25,222,Negative 68,That He prohibited the high priest from entering the Temple ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.68?lang=bi
2026-04-26,223,Negative 69,That He prohibited a priest with a blemish to enter the Temp...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.69?lang=bi
2026-04-26,224,Negative 70,That He prohibited a priest with a permanent blemish to serv...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.70?lang=bi
2026-04-27,225,Negative 71,That He prohibited a priest with a temporary blemish - such ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.71?lang=bi
2026-04-27,226,Negative 72,That He prohibited the Levites from occupying themselves wit...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.72?lang=bi
2026-04-28,227,Negative 73,That He prohibited us from entering the Temple or giving ins...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.73?lang=bi
2026-04-28,228,Negative 74,That He prohibited an outsider (zar) from serving in the Tem...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.74?lang=bi
2026-04-29,229,Negative 75,That He prohibited an impure priest from serving [in the Tem...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.75?lang=bi
2026-04-29,230,Negative 76,That He prohibited a priest that has immersed on that day (t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.76?lang=bi
2026-04-30,231,Negative 77,That He prohibited any impure person from entering the Sanct...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.77?lang=bi
2026-04-30,232,Negative 78,That He prohibited any impure person from entering the camp ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.78?lang=bi
2026-05-01,233,Negative 79,That He prohibited us from building an altar of stones that ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.79?lang=bi
2026-05-01,234,Negative 80,That He prohibited us from ascending the altar by steps - so...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.80?lang=bi
2026-05-02,235,Negative 81,That He prohibited us from extinguishing the fire on top of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.81?lang=bi
2026-05-02,236,Negative 82,That He prohibited us from offering any sacrifices on top of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.82?lang=bi
2026-05-03,237,Negative 83,That He prohibited us from making oil like the anointing oil,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.83?lang=bi
2026-05-03,238,Negative 84,He prohibited us from anointing [anyone] besides the high pr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.84?lang=bi
2026-05-04,239,Negative 85,He prohibited us from making a vapor with the configuration ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.85?lang=bi
2026-05-04,240,Negative 86,He prohibited us from removing the poles of the ark from the...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.86?lang=bi
2026-05-05,241,Negative 87,He prohibited us from removing the breastplate from the epho...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.87?lang=bi
2026-05-05,242,Negative 88,He prohibited us from tearing the edge of the robe of the hi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.88?lang=bi
2026-05-06,243,Negative 89,He prohibited us - that we not sacrifice any of the sacrific...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.89?lang=bi
2026-05-06,244,Negative 90,That He prohibited us from slaughtering any of the sacrifice...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.90?lang=bi
2026-05-07,245,Negative 91,He prohibited us from consecrating animals with blemishes on...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.91?lang=bi
2026-05-07,246,Negative 92,He prohibited us from sacrificing animals with blemishes,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.92?lang=bi
2026-05-08,247,Negative 93,That He prohibited us from sprinkling the blood of animals w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.93?lang=bi
2026-05-08,248,Negative 94,He prohibited us from burning up animals with blemishes,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.94?lang=bi
2026-05-09,249,Negative 95,He prohibited us from offering animals with temporary blemis...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.95?lang=bi
2026-05-09,250,Negative 96,He prohibited us from offering the sacrifices of gentiles wh...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.96?lang=bi
2026-05-10,251,Negative 97,He prohibited us from putting a blemish into consecrated ani...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.97?lang=bi
2026-05-10,252,Negative 98,He prohibited us from offering leaven or honey,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.98?lang=bi
2026-05-11,253,Negative 99,He prohibited us from offering a sacrifice without salt,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.99?lang=bi
2026-05-11,254,Negative 100,He prohibited us from offering a harlot's fee or the sale re...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.100?lang=bi
2026-05-12,255,Negative 101,He prohibited us from slaughtering an animal and its child o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.101?lang=bi
2026-05-12,256,Negative 102,He prohibited us from placing olive oil in the meal-offering...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.102?lang=bi
2026-05-13,257,Negative 103,He prohibited us from offering frankincense in the offering ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.103?lang=bi
2026-05-13,258,Negative 104,He prohibited us from mixing the meal-offering of a sotah (s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.104?lang=bi
2026-05-14,259,Negative 105,He prohibited us from putting frankincense into the meal-off...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.105?lang=bi
2026-05-14,260,Negative 106,He prohibited us from substituting consecrated animals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.106?lang=bi
2026-05-15,261,Negative 107,He prohibited us from changing consecrated animals from one ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.107?lang=bi
2026-05-15,262,Negative 108,He prohibited us from redeeming a pure firstborn animal,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.108?lang=bi
2026-05-16,263,Negative 109,He prohibited us from selling the animal tithe in any fashio...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.109?lang=bi
2026-05-16,264,Negative 110,He prohibited us from selling a field which its owners have ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.110?lang=bi
2026-05-17,265,Negative 111,He prohibited us from redeeming unspecified dedications of l...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.111?lang=bi
2026-05-17,266,Negative 112,He prohibited us from severing the head of the fowl sin-offe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.112?lang=bi
2026-05-18,267,Negative 113,He prohibited us from doing work with consecrated animals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.113?lang=bi
2026-05-18,268,Negative 114,He prohibited us from shearing the wool of consecrated anima...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.114?lang=bi
2026-05-19,269,Negative 115,He prohibited us from slaughtering the Pesach-offering over ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.115?lang=bi
2026-05-19,270,Negative 116,He prohibited us from leaving over the innards of the Pesach...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.116?lang=bi
2026-05-20,271,Negative 117,He prohibited us from leaving over any of the meat of the Pe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.117?lang=bi
2026-05-20,272,Negative 118,He prohibited us from leaving over any of the meat of the fe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.118?lang=bi
2026-05-21,273,Negative 119,He prohibited us from leaving over any of the meat of the Se...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.119?lang=bi
2026-05-21,274,Negative 120,He prohibited us from leaving over any of the meat of the th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.120?lang=bi
2026-05-22,275,Negative 121,He prohibited us from breaking one of the bones of the Pesac...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.121?lang=bi
2026-05-22,276,Negative 122,He prohibited us from breaking one of the bones of the Secon...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.122?lang=bi
2026-05-23,277,Negative 123,He prohibited us from removing any of the meat of the Pesach...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.123?lang=bi
2026-05-23,278,Negative 124,He prohibited us from baking the remainders of the meal-offe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.124?lang=bi
2026-05-24,279,Negative 125,He prohibited us from eating the Pesach-offering boiled or u...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.125?lang=bi
2026-05-24,280,Negative 126,That He prohibited us from feeding the Pesach-offering to a ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.126?lang=bi
2026-05-25,281,Negative 127,That He prohibited us from feeding the Pesach-offering to on...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.127?lang=bi
2026-05-25,282,Negative 128,That He prohibited us from feeding the Pesach-offering to an...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.128?lang=bi
2026-05-26,283,Negative 129,He prohibited us from having anyone impure eat sacrificial f...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.129?lang=bi
2026-05-26,284,Negative 130,That He prohibited us from eating consecrated meat that has ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.130?lang=bi
2026-05-27,285,Negative 131,That He prohibited us from eating notar - and that is what i...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.131?lang=bi
2026-05-27,286,Negative 132,That He prohibited us from eating piggul,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.132?lang=bi
2026-05-28,287,Negative 133,That He prohibited all outsiders (non-priests) from eating p...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.133?lang=bi
2026-05-28,288,Negative 134,"That He prohibited a tenant of a priest, or his hired servan...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.134?lang=bi
2026-05-29,289,Negative 135,That He prohibited an uncircumcised one from eating the prie...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.135?lang=bi
2026-05-29,290,Negative 136,He prohibited an impure priest from eating the priestly tith...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.136?lang=bi
2026-05-30,291,Negative 137,That He prohibited a desecrated woman (challalah) from eatin...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.137?lang=bi
2026-05-30,292,Negative 138,That He prohibited us from eating a meal-offering of a pries...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.138?lang=bi
2026-05-31,293,Negative 139,That He prohibited the priests from eating the meat of sin-o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.139?lang=bi
2026-05-31,294,Negative 140,That He prohibited us from eating disqualified consecrated f...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.140?lang=bi
2026-06-01,295,Negative 141,That He prohibited us from eating the second tithe from grai...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.141?lang=bi
2026-06-01,296,Negative 142,That He prohibited us from consuming the second tithe from w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.142?lang=bi
2026-06-02,297,Negative 143,That He prohibited us from consuming the second tithe from o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.143?lang=bi
2026-06-02,298,Negative 144,That He prohibited us from eating a firstborn animal outside...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.144?lang=bi
2026-06-03,299,Negative 145,That He prohibited us from eating the sin-offering and the g...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.145?lang=bi
2026-06-03,300,Negative 146,That He prohibited us from eating the meat of a burnt-offeri...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.146?lang=bi
2026-06-04,301,Negative 147,That He prohibited us from eating lighter consecrated food (...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.147?lang=bi
2026-06-04,302,Negative 148,That He prohibited us - that an outsider not eat higher cons...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.148?lang=bi
2026-06-05,303,Negative 149,That He prohibited the priests from eating firstfruits outsi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.149?lang=bi
2026-06-05,304,Negative 150,That He prohibited us from eating second tithe when impure -...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.150?lang=bi
2026-06-06,305,Negative 151,That He prohibited us from eating second tithe when grieving...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.151?lang=bi
2026-06-06,306,Negative 152,He prohibited us from spending the [redemption] money of sec...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.152?lang=bi
2026-06-07,307,Negative 153,That He prohibited us from eating tevel - and that is [produ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.153?lang=bi
2026-06-07,308,Negative 154,"He prohibited having some laws of [produce] precede others, ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.154?lang=bi
2026-06-08,309,Negative 155,"He prohibited us from delaying vows, voluntary offerings and...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.155?lang=bi
2026-06-08,310,Negative 156,That He prohibited us from going up on pilgrimage without th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.156?lang=bi
2026-06-09,311,Negative 157,That He prohibited us from violating that which we have obli...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.157?lang=bi
2026-06-09,312,Negative 158,That He prohibited a priest from taking (marrying) a zonah (...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.158?lang=bi
2026-06-10,313,Negative 159,That He prohibited a priest - that he not take (marry) a des...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.159?lang=bi
2026-06-10,314,Negative 160,That He prohibited a priest - that he not take (marry) a div...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.160?lang=bi
2026-06-11,315,Negative 161,That He prohibited a high priest from taking (marrying) a wi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.161?lang=bi
2026-06-11,316,Negative 162,He prohibited a high priest - that he not have sexual relati...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.162?lang=bi
2026-06-12,317,Negative 163,That He prohibited the priests from entering the Temple with...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.163?lang=bi
2026-06-12,318,Negative 164,That He prohibited the priests from entering the Temple and ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.164?lang=bi
2026-06-13,319,Negative 165,That He prohibited the priests from leaving the Temple at th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.165?lang=bi
2026-06-13,320,Negative 166,That He prohibited an ordinary priest from becoming impure f...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.166?lang=bi
2026-06-14,321,Negative 167,He prohibited a high priest from entering under a roof toget...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.167?lang=bi
2026-06-14,322,Negative 168,He prohibited a high priest from becoming impure from any de...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.168?lang=bi
2026-06-15,323,Negative 169,He prohibited the entire tribe of Levi from taking a portion...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.169?lang=bi
2026-06-15,324,Negative 170,It is the prohibition that the entire tribe of Levi  was als...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.170?lang=bi
2026-06-16,325,Negative 171,He prohibited us from making a bald spot on the head for the...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.171?lang=bi
2026-06-16,326,Negative 172,He prohibited us from eating impure (domesticated) beasts an...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.172?lang=bi
2026-06-17,327,Negative 173,He prohibited us from eating impure fish,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.173?lang=bi
2026-06-17,328,Negative 174,He prohibited us from eating impure birds,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.174?lang=bi
2026-06-18,329,Negative 175,He prohibited us from eating winged swarming things,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.175?lang=bi
2026-06-18,330,Negative 176,He prohibited us from eating things that swarm upon the eart...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.176?lang=bi
2026-06-19,331,Negative 177,He prohibited us from eating things that swarm which come to...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.177?lang=bi
2026-06-19,332,Negative 178,He prohibited us from eating worms that are born in fruit an...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.178?lang=bi
2026-06-20,333,Negative 179,He prohibited us from eating any swarming thing that it migh...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.179?lang=bi
2026-06-20,334,Negative 180,He prohibited us from eating a dead [animal],https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.180?lang=bi
2026-06-21,335,Negative 181,He prohibited us from eating a torn [animal],https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.181?lang=bi
2026-06-21,336,Negative 182,He prohibited us from eating a limb from a living animal,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.182?lang=bi
2026-06-22,337,Negative 183,He prohibited [us] from eating the sciatic nerve,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.183?lang=bi
2026-06-22,338,Negative 184,He prohibited us from eating blood,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.184?lang=bi
2026-06-23,339,Negative 185,He prohibited us from eating the forbidden fat (chelev) of a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.185?lang=bi
2026-06-23,340,Negative 186,He prohibited us from cooking meat with milk,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.186?lang=bi
2026-06-24,341,Negative 187,He prohibited [us] from eating meat with milk,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.187?lang=bi
2026-06-24,342,Negative 188,He prohibited us from eating meat from an ox that is to be s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.188?lang=bi
2026-06-25,343,Negative 189,He prohibited us from eating bread made from the new grain b...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.189?lang=bi
2026-06-25,344,Negative 190,He prohibited us from eating parched grain made from the new...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.190?lang=bi
2026-06-26,345,Negative 191,He prohibited us from eating tender grain from the new [prod...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.191?lang=bi
2026-06-26,346,Negative 192,He prohibited us from eating orlah (fruit of trees during th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.192?lang=bi
2026-06-27,347,Negative 193,He prohibited us from eating forbidden mixtures specifically...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.193?lang=bi
2026-06-27,348,Negative 194,He prohibited us from drinking wine of (an idolatrous) libat...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.194?lang=bi
2026-06-28,349,Negative 195,He prohibited us from being gluttonous and drunk with food a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.195?lang=bi
2026-06-28,350,Negative 196,He prohibited us from eating on the fast of Yom Kippur,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.196?lang=bi
2026-06-29,351,Negative 197,He prohibited us from eating chametz (leavened grain product...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.197?lang=bi
2026-06-29,352,Negative 198,He prohibited us from eating things that have an admixture o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.198?lang=bi
