Date,Mitzvos,English Title(s),Source
2026-06-16,"392, 393",Not to eat sacrifices which have become unfit or blemished & Not to eat from sacrifices offered with improper intentions,Devarim 14:3 & Vayikra 7:18
2026-06-17,"394, 395",Not to leave sacrifices past the time allowed for eating them & Not to eat from that which was left over,Vayikra 22:30 & Vayikra 19:8
2026-06-18,"396, 397",Not to eat from sacrifices which became impure & An impure person must not eat from sacrifices,Vayikra 7:19 & Vayikra 7:20
2026-06-19,"398, 399",To burn the leftover sacrifices & To burn all impure sacrifices,Vayikra 7:17 & Vayikra 7:19
2026-06-20,"400, 401",To follow the procedure of Yom Kippur in the sequence prescribed in the Torah & One who profaned holy property must repay what he profaned plus a fifth and bring a sacrifice,Vayikra 16:3 & Vayikra 5:16
2026-06-21,"402, 403",Not to work consecrated animals & Not to shear the fleece of consecrated animals,Devarim 15:19 & Devarim 15:19
2026-06-22,"404, 405",To slaughter the Paschal sacrifice at the specified time & Not to slaughter it while in possession of leaven,Shemos 12:6 & Shemos 23:18
2026-06-23,"406, 407",Not to leave the fat overnight & To slaughter the second Paschal Lamb,Shemos 23:18 & Bamidbar 9:11
2026-06-24,"408, 409",To eat the Paschal Lamb with Matzah and Maror on the night of the 15th of Nissan & To eat the second Paschal Lamb on the night of the 15th of Iyar,Shemos 12:8 & Bamidbar 9:11
2026-06-25,"410, 411",Not to eat the Paschal meat raw or boiled & Not to take the Paschal meat from the confines of its group,Shemos 12:9 & Shemos 12:46
2026-06-26,"412, 413",An apostate must not eat from it & A permanent or temporary [non-Jewish] hired worker must not eat from it,Shemos 12:43 & Shemos 12:45
2026-06-27,"414, 415",An uncircumcised male must not eat from it & Not to break any bones from the Paschal offering,Shemos 12:48 & Shemos 12:46
2026-06-28,"416, 417",Not to break any bones from the second Paschal offering & Not to leave any meat from the Paschal offering over until morning,Bamidbar 9:12 & Shemos 12:10
2026-06-29,"418, 419",Not to leave the second Paschal meat over until morning & Not to leave the meat of the holiday offering of the 14th until the 16th,Bamidbar 9:12 & Devarim 16:4
2026-06-30,"420, 421","To be seen at the Temple on Passover, Shavuot, and Sukkot & To celebrate on these three Festivals (by bringing a offering)",Devarim 16:16 & Shemos 23:14
2026-07-01,"422, 423",To rejoice on these three Festivals & Not to appear at the Temple without offerings,Devarim 16:14 & Devarim 16:16
2026-07-02,"424, 425","Not to refrain from rejoicing with, and giving gifts to, the Levites & To assemble all the people on the Sukkot following the seventh year [the king publicly reads portions of the Torah]",Devarim 12:19 & Devarim 31:12
2026-07-03,"426, 427","To set aside the firstborn animals [to be eaten by the Kohanim, and sacrificed unless they are blemished] & The Kohanim must not eat unblemished firstborn animals outside Jerusalem",Shemos 13:12 & Devarim 12:17
2026-07-04,"428, 429","Not to redeem a firstborn kosher animal & Separate the tithe from animals [to be eaten by the Kohanim, and sacrificed unless they are blemished]",Bamidbar 18:17 & Vayikra 27:32
2026-07-05,"430, 431",Not to redeem the tithe & Every person must bring a sin offering for his transgression,Vayikra 27:33 & Vayikra 4:27
2026-07-06,"432, 433",Bring an asham talui offering when uncertain of guilt & Bring an asham vadai offering [for certain sins] when guilt is ascertained,Vayikra 5:17-18 & Vayikra 5:25
2026-07-07,"434, 435","Bring an oleh v'yored offering (if the person is wealthy, an animal; if poor, a bird or meal offering) [for certain sins] & The Sanhedrin must bring an offering when it rules in error",Vayikra 5:7-11 & Vayikra 4:13
2026-07-08,"436, 437",A woman who had a running issue must bring an offering after she goes to the Mikvah & A woman who gave birth must bring an offering after she goes to the Mikvah,Vayikra 15:28-29 & Vayikra 12:6
2026-07-09,"438, 439","A man who had a running issue must bring an offering after he goes to the Mikvah & A metzora (""leprous"" person",Vayikra 15:13-14 & see According to the Torah is Leprosy a hygienic problem or is it something spiritual and miraculous?) must bring an offering after going to the Mikvah—Leviticus 14:10
2026-07-10,"440, 441","Not to substitute another beast for one set apart for sacrifice & The new animal, in addition to the substituted one, retains consecration",Vayikra 27:10 & Vayikra 27:10
2026-07-11,"442, 443",Not to change consecrated animals from one type of offering to another & Carry out the laws of impurity of the dead,Vayikra 27:26 & Bamidbar 19:14
2026-07-12,"444, 445",Carry out the procedure of the Red Heifer & Carry out the laws of the sprinkling water [of the Red Heifer],Bamidbar 19:9 & Bamidbar 19:21
2026-07-13,"446, 447","Rule the laws of human tzara'at (Leprosy, see Mitzvah 439) as prescribed in the Torah & The metzora (leper) must not remove his signs of impurity",Vayikra 13:12 & Devarim 24:8
2026-07-14,"448, 449","The metzora must not shave signs of impurity in his hair & The metzora must publicize his condition by tearing his garments, allowing his hair to grow and covering his mustache",Vayikra 13:33 & Vayikra 13:45
2026-07-15,"450, 451",Carry out the prescribed rules for purifying the metzora & The metzora must shave off all his hair prior to purification,Vayikra 14:2 & Vayikra 14:9
2026-07-16,"452, 453","Carry out the laws of ""leprous"" clothing & Carry out the laws of leprous houses",Vayikra 13:47 & Vayikra 14:35
2026-07-17,"454, 455",Observe the laws of menstrual impurity & Observe the laws of impurity caused by childbirth,Vayikra 15:19 & Vayikra 12:2
2026-07-18,"456, 457",Observe the laws of impurity caused by a woman's running issue & Observe the laws of impurity caused by a man's running issue (irregular ejaculation of infected semen),Vayikra 15:25 & Vayikra 15:3
2026-07-19,"458, 459","Observe the laws of impurity caused by a dead beast & Observe the laws of impurity caused by the eight shratzim (rodents, amphibious creatures, and lizards) [specified in the Torah]",Vayikra 11:39 & Vayikra 11:29
2026-07-20,"460, 461","Observe the laws of impurity of a seminal emission (regular ejaculation, with normal semen) & Observe the laws of impurity concerning liquid and solid foods",Vayikra 15:16 & Vayikra 11:34
2026-07-21,"462, 463",Every impure person must immerse himself in a Mikvah to become pure & The court must judge the damages incurred by a goring beast,Vayikra 15:16 & Shemos 21:28
2026-07-22,"464, 465",The court must judge the damages incurred by an animal eating & The court must judge the damages incurred by a pit,Shemos 22:4 & Shemos 21:33
2026-07-23,"466, 467",The court must judge the damages incurred by fire & Not to steal money stealthily,Shemos 22:5 & Vayikra 19:11
2026-07-24,"468, 469",The court must implement punitive measures against the thief & Each individual must ensure that his scales and weights are accurate,Shemos 21:37 & Vayikra 19:36
2026-07-25,"470, 471",Not to commit injustice with scales and weights & Not to possess inaccurate scales and weights even if they are not for use,Vayikra 19:35 & Devarim 25:13
2026-07-26,"472, 473",Not to move a boundary marker to steal someone's property & Not to kidnap,Devarim 19:14 & Shemos 20:13
2026-07-27,"474, 475",Not to rob & Not to withhold wages or fail to repay a debt,Vayikra 19:13 & Vayikra 19:13
2026-07-28,"476, 477",Not to covet and scheme to acquire another's possession & Not to desire another's possession,Shemos 20:14 & Devarim 5:18
2026-07-29,"478, 479",Return the robbed object or its value & Not to ignore a lost object,Vayikra 5:23 & Devarim 22:3
2026-07-30,"480, 481",Return the lost object & The court must implement laws against the one who assaults another or damages another's property,Devarim 22:1 & Shemos 21:18
2026-07-31,"482, 483",Not to murder & Not to accept monetary restitution to atone for the murderer,Shemos 20:13 & Bamidbar 35:31
2026-08-01,"484, 485",The court must send the accidental murderer to a city of refuge & Not to accept monetary restitution instead of being sent to a city of refuge,Bamidbar 35:25 & Bamidbar 35:32
2026-08-02,"486, 487",Not to kill the murderer before he stands trial & Save someone being pursued even by taking the life of the pursuer,Bamidbar 35:12 & Devarim 25:12
2026-08-03,"488, 489",Not to pity the pursuer & Not to stand idly by if someone's life is in danger,Bamidbar 35:12 & Vayikra 19:16
2026-08-04,"490, 491",Designate cities of refuge and prepare routes of access & Break the neck of a calf by a stream following an unsolved murder,Devarim 19:3 & Devarim 21:4
2026-08-05,"492, 493",To neither work nor plant that river valley & Not to allow pitfalls and obstacles to remain on your property,Devarim 21:4 & Devarim 22:8
2026-08-06,"494, 495",Make a guard rail around flat roofs & Not to put a stumbling block before a blind man (nor give harmful advice),Devarim 22:8 & Vayikra 19:14
2026-08-07,"496, 497",Help another remove the load from a beast which can no longer carry it & Help others load their beast,Shemos 23:5 & Devarim 22:4
2026-08-08,"498, 499",Not to leave others distraught with their burdens (but to help either load or unload) & Buy and sell according to Torah law,Devarim 22:4 & Vayikra 25:14
2026-08-09,"500, 501",Not to overcharge or underpay for an article & Not to insult or harm anybody with words,Vayikra 25:14 & Vayikra 25:17
2026-08-10,"502, 503",Not to cheat a sincere convert monetarily & Not to insult or harm a sincere convert with words,Shemos 22:20 & Shemos 22:20
2026-08-11,"504, 505",Purchase a Hebrew slave in accordance with the prescribed laws & Not to sell him as a slave is sold,Shemos 21:2 & Vayikra 25:42
2026-08-12,"506, 507",Not to work him oppressively & Not to allow a non-Jew to work him oppressively,Vayikra 25:43 & Vayikra 25:53
2026-08-13,"508, 509",Not to have him do menial slave labor & Give him gifts when he goes free,Vayikra 25:39 & Devarim 15:14
2026-08-14,"510, 511",Not to send him away empty-handed & Redeem Jewish maidservants,Devarim 15:13 & Shemos 21:8
2026-08-15,"512, 513",Betroth the Jewish maidservant & The master must not sell his maidservant,Shemos 21:8 & Shemos 21:8
2026-08-16,"514, 515",Canaanite slaves must work forever unless the owner amputates one of their limbs & Not to extradite a slave who fled to (Biblical) Israel,Vayikra 25:46 & Devarim 23:16
2026-08-17,"516, 517",Not to wrong a slave who has come to Israel for refuge & The courts must carry out the laws of a hired worker and hired guard,Devarim 23:17 & Shemos 22:9
2026-08-18,"518, 519",Pay wages on the day they were earned & Not to delay payment of wages past the agreed time,Devarim 24:15 & Vayikra 19:13
2026-08-19,"520, 521",The hired worker may eat from the unharvested crops where he works & The worker must not eat while on hired time,Devarim 23:25 & Devarim 23:26
2026-08-20,"522, 523",The worker must not take more than he can eat & Not to muzzle an ox while plowing,Devarim 23:25 & Devarim 25:4
2026-08-21,"524, 525",The courts must carry out the laws of a borrower & The courts must carry out the laws of an unpaid guard,Shemos 22:13 & Shemos 22:6
2026-08-22,"526, 527",Lend to the poor and destitute & Not to press them for payment if you know they don't have it,Shemos 22:24 & Shemos 22:24
2026-08-23,"528, 529",Press the idolater for payment & The creditor must not forcibly take collateral,Devarim 15:3 & Devarim 24:10
2026-08-24,"530, 531",Return the collateral to the debtor when needed & Not to delay its return when needed,Devarim 24:13 & Devarim 24:12
2026-08-25,"532, 533",Not to demand collateral from a widow & Not to demand as collateral utensils needed for preparing food,Devarim 24:17 & Devarim 24:6
2026-08-26,"534, 535",Not to lend with interest & Not to borrow with interest,Vayikra 25:37 & Devarim 23:20
2026-08-27,"536, 537","Not to intermediate in an interest loan, guarantee, witness, or write the promissory note & Lend to and borrow from idolaters with interest",Shemos 22:24 & Devarim 23:21
2026-08-28,"538, 539","The courts must carry out the laws of the plaintiff, admitter, or denier & Carry out the laws of the order of inheritance",Shemos 22:8 & Bamidbar 27:8
2026-08-29,"540, 541",Appoint judges & Not to appoint judges who are not familiar with judicial procedure,Devarim 16:18 & Devarim 1:17
2026-08-30,"542, 543",Decide by majority in case of disagreement & [In capital cases] the court must not execute through a majority of one; at least a majority of two is required,Shemos 23:2 & Shemos 23:2
2026-08-31,"544, 545",A judge who presented an acquittal plea must not present an argument for conviction in capital cases & The courts must carry out the death penalty of stoning,Shemos 23:2 & Devarim 22:24
2026-09-01,"546, 547",The courts must carry out the death penalty of burning & The courts must carry out the death penalty of the sword,Vayikra 20:14 & Shemos 21:20
2026-09-02,"548, 549",The courts must carry out the death penalty of strangulation & The courts must hang those stoned for blasphemy or idolatry,Vayikra 20:10 & Devarim 21:22
2026-09-03,"550, 551",Bury the executed [as well as all deceased] on the day they are killed & Not to delay burial overnight,Devarim 21:23 & Devarim 21:23
2026-09-04,"552, 553",The court must not let the sorcerer live & The court must give lashes to the wrongdoer,Shemos 22:17 & Devarim 25:2
2026-09-05,"554, 555",The court must not exceed the prescribed number of lashes & The court must not kill anybody on circumstantial evidence,Devarim 25:3 & Shemos 23:7
2026-09-06,"556, 557",The court must not punish anybody who was forced to do a crime & A judge must not pity the murderer or assaulter at the trial,Devarim 22:26 & Devarim 19:13
2026-09-07,"558, 559",A judge must not have mercy on the poor man at the trial & A judge must not respect the great man at the trial,Vayikra 19:15 & Vayikra 19:15
2026-09-08,"560, 561",A judge must not decide unjustly the case of the habitual transgressor & A judge must not pervert justice,Shemos 23:6 & Vayikra 19:15
2026-09-09,"562, 563",A judge must not pervert a case involving a convert or orphan & Judge righteously,Devarim 24:17 & Vayikra 19:15
2026-09-10,"564, 565",The judge must not fear a violent man in judgment & Judges must not accept bribes,Devarim 1:17 & Shemos 23:8
2026-09-11,"566, 567",Judges must not accept testimony unless both parties are present & Not to curse judges,Shemos 23:1 & Shemos 22:27
2026-09-12,"568, 569",Not to curse the head of state or leader of the Sanhedrin & Not to curse any upstanding Jew,Shemos 22:27 & Vayikra 19:14
2026-09-13,"570, 571",Anybody who knows evidence must testify in court & Carefully interrogate the witness,Vayikra 5:1 & Devarim 13:15
2026-09-14,"572, 573",A witness must not serve as a judge in capital crimes & Not to accept testimony from a lone witness,Bamidbar 35:30 & Devarim 19:15
2026-09-15,"574, 575",Transgressors must not testify & Relatives of the litigants must not testify,Shemos 23:1 & Devarim 24:16
2026-09-16,"576, 577",Not to testify falsely & Punish the false witnesses with the same punishment they were seeking for the defendant,Shemos 20:13 & Devarim 19:19
2026-09-17,"578, 579",Act according to the ruling of the Sanhedrin & Not to deviate from the word of the Sanhedrin,Devarim 17:11 & Devarim 17:11
2026-09-18,"580, 581","Not to add to the Torah commandments or their oral explanations & Not to diminish from the Torah any commandments, in whole or in part",Devarim 13:1 & Devarim 13:1
2026-09-19,"582, 583",Not to curse your father or mother & Not to strike your father or mother,Shemos 21:17 & Shemos 21:15
2026-09-20,"584, 585",Respect your father and mother & Fear your father and mother,Shemos 20:12 & Vayikra 19:3
2026-09-21,"586, 587",Not to be a rebellious son & Mourn for relatives,Devarim 21:20 & Vayikra 10:19
2026-09-22,"588, 589",The High Priest must not defile himself through contact with a relative & The High Priest must not enter under the same roof as a corpse,Vayikra 21:11 & Vayikra 21:11
2026-09-23,"590, 591",A Kohen must not defile himself for anyone except relatives & Appoint a king from Israel,Vayikra 21:1 & Devarim 17:15
2026-09-24,"592, 593",Not to appoint a convert & The king must not have too many wives,Devarim 17:15 & Devarim 17:17
2026-09-25,"594, 595",The king must not have too many horses & The king must not have too much silver and gold,Devarim 17:16 & Devarim 17:17
2026-09-26,"596, 597",Destroy the seven Canaanite nations & Not to let any of them remain alive,Devarim 20:17 & Devarim 20:16
2026-09-27,"598, 599",Wipe out the descendants of Amalek & Remember what Amalek did to the Jewish people,Devarim 25:19 & Devarim 25:17
2026-09-28,"600, 601",Not to forget Amalek's atrocities and ambush on our journey from Egypt in the desert & Not to dwell permanently in Egypt,Devarim 25:19 & Devarim 17:16
2026-09-29,"602, 603","Offer peace terms to the inhabitants of a city while holding siege, and treat them according to the Torah if they accept the terms & Not to offer peace to Ammon and Moab while besieging them",Devarim 20:10 & Devarim 23:7
2026-09-30,"604, 605",Not to destroy fruit trees even during the siege & Prepare latrines outside the army camps,Devarim 20:19 & Devarim 23:13
2026-10-01,"606, 607",Prepare a shovel for each soldier to dig with & Appoint a priest to speak with the soldiers during the war,Devarim 23:14 & Devarim 20:2
2026-10-02,"608, 609","He who has taken a wife, built a new home, or planted a vineyard is given a year to rejoice with his possessions & Not to demand from the above any involvement, communal or military",Devarim 24:5 & Devarim 24:5
2026-10-03,"610, 611",Not to panic and retreat during battle & Keep the laws of the captive woman,Devarim 20:3 & Devarim 21:11
2026-10-04,"612, 613",Not to sell her into slavery & Not to retain her for servitude after having relations with her,Devarim 21:14 & Devarim 21:14
